epoch,train_loss,val_loss,learning_rate,epoch_time_seconds,precision,recall,mAP50,mAP50_95
1,3.67894,4.00306,0.000368363,66.24963769912719,0.66562,0.60092,0.64063,0.41114
2,3.9212000000000002,4.54765,0.00071432,66.24963769912719,0.57107,0.52112,0.54704,0.34726
3,4.1353100000000005,4.75834,0.00103583,66.24963769912719,0.57656,0.4595,0.49122,0.29646
4,4.12969,4.45416,0.00100101,66.24963769912719,0.69936,0.53989,0.62146,0.40754
5,3.93048,4.19773,0.000964348,66.24963769912719,0.71761,0.59348,0.65163,0.42831
6,3.8319599999999996,4.20726,0.000927685,66.24963769912719,0.67586,0.59513,0.63281,0.42213
7,3.7239199999999997,3.9809799999999997,0.000891022,66.24963769912719,0.73584,0.64009,0.70991,0.48231
8,3.6141300000000003,3.8862200000000002,0.000854359,66.24963769912719,0.73547,0.62967,0.70059,0.48443
9,3.53019,3.9107000000000003,0.000817696,66.24963769912719,0.71692,0.63837,0.70196,0.47574
10,3.4889099999999997,3.67237,0.000781033,66.24963769912719,0.75836,0.68589,0.74446,0.52491
11,3.4291,3.6353100000000005,0.00074437,66.24963769912719,0.79557,0.66606,0.75227,0.54113
12,3.34077,3.50699,0.000707707,66.24963769912719,0.75325,0.70507,0.74928,0.54442
13,3.24614,3.482,0.000671044,66.24963769912719,0.75061,0.73309,0.76503,0.55899
14,3.2503100000000003,3.3706700000000005,0.000634381,66.24963769912719,0.81333,0.70641,0.78179,0.57878
15,3.20462,3.4439100000000002,0.000597718,66.24963769912719,0.76983,0.68074,0.75694,0.55291
16,3.08444,3.3873299999999995,0.000561055,66.24963769912719,0.78423,0.7223,0.77032,0.56329
17,3.03803,3.37502,0.000524392,66.24963769912719,0.77282,0.74204,0.7758,0.56943
18,3.0091900000000003,3.3454900000000003,0.000487729,66.24963769912719,0.7565,0.75657,0.78931,0.5815
19,2.9767200000000003,3.33042,0.000451066,66.24963769912719,0.78155,0.71467,0.77852,0.57632
20,2.90735,3.23546,0.000414403,66.24963769912719,0.79699,0.72656,0.79394,0.59914
21,2.8411999999999997,3.26571,0.00037774,66.24963769912719,0.77608,0.75722,0.78294,0.59092
22,2.7697900000000004,3.25077,0.000341077,66.24963769912719,0.78201,0.73097,0.77917,0.58789
23,2.67489,3.21259,0.000304414,66.24963769912719,0.81309,0.71884,0.78955,0.60048
24,2.64213,3.19273,0.000267751,66.24963769912719,0.82151,0.72882,0.79289,0.59402
25,2.5811900000000003,3.17919,0.000231088,66.24963769912719,0.79143,0.73566,0.79527,0.60467
26,2.52669,3.16746,0.000194425,66.24963769912719,0.79085,0.74419,0.7922,0.60259
27,2.4668,3.1293100000000003,0.000157762,66.24963769912719,0.78816,0.76604,0.79366,0.60698
28,2.42072,3.10615,0.000121099,66.24963769912719,0.80492,0.74109,0.79996,0.60884
29,2.38202,3.05784,8.4436e-05,66.24963769912719,0.80954,0.75698,0.80197,0.61587
30,2.35009,3.07457,4.7773e-05,66.24963769912719,0.82071,0.74434,0.80248,0.615
